dataset,seed,k,r_mean_k,r_std_k,r_slope_k,r_max_k,dev_k,val_delta_k,final_fixed_r10,final_cf_r10,final_delta,collapse_label
yelp,123,10,0.5549531423953618,0.027145809357934304,-0.0007133996181169275,0.6273763463401336,0.4450468576046383,-0.020999999999999998,0.0073951837114770965,0.017761259035792065,-0.583634037589445,1
yelp,999,3,0.5764887827637125,0.03695189164317936,-0.013343794615682303,0.6257900599506878,0.4235112172362874,0.7427,0.008041924733603085,0.0174621268423519,-0.5394647624115291,1
yelp,999,5,0.5582995339803156,0.03627280982999885,-0.007222838842831262,0.6257900599506878,0.44170046601968427,-0.0147,0.008041924733603085,0.0174621268423519,-0.5394647624115291,1
yelp,999,10,0.5580590651973487,0.027256938303105868,-0.0005564176649124967,0.6257900599506878,0.44194093480265123,-0.0156,0.008041924733603085,0.0174621268423519,-0.5394647624115291,1
yelp,2024,3,0.5800579294737941,0.03814577245155606,-0.013718156628154038,0.6313130516018874,0.4199420705262059,0.7445,0.00845434754452541,0.018043714106156437,-0.531451923073184,1
yelp,2024,5,0.5620440272505254,0.036892337061824064,-0.0072257961668553885,0.6313130516018874,0.4379559727494747,-0.0149,0.00845434754452541,0.018043714106156437,-0.531451923073184,1
yelp,2024,10,0.5675482591464741,0.030350400630414425,0.0002308024871305406,0.6313130516018874,0.4324517408535259,-0.0124,0.00845434754452541,0.018043714106156437,-0.531451923073184,1
yelp,2025,3,0.5797987587645971,0.03727639973372408,-0.01351602102420442,0.6291138444159691,0.4202012412354029,0.7292,0.008410406564130168,0.018200118712049518,-0.5378927633532472,1
yelp,2025,5,0.560801113107536,0.03708285499472108,-0.007464232905786033,0.6291138444159691,0.4391988868924639,-0.0189,0.008410406564130168,0.018200118712049518,-0.5378927633532472,1
yelp,2025,10,0.5552604028690682,0.02736221616880739,-0.0012619015784375788,0.6291138444159691,0.44473959713093175,-0.019799999999999998,0.008410406564130168,0.018200118712049518,-0.5378927633532472,1
